generation,train_score,test_score
0,76.1,205.0
1,122.3,224.0
2,156.2,223.0
3,139.5,219.0
4,143.1,224.0
5,166.0,227.0
6,147.6,229.0
7,115.9,226.0
8,127.1,224.0
9,139.5,225.0
10,141.3,227.0
11,119.7,226.0
12,147.5,228.0
13,159.9,227.0
14,132.9,226.0
15,153.5,227.0
16,123.2,224.0
17,149.8,130.0
18,138.0,229.0
19,140.2,228.0
20,157.8,227.0
21,132.9,226.0
22,131.9,226.0
23,142.4,225.0
24,117.0,228.0
25,169.1,226.0
26,142.2,222.0
27,124.5,131.0
28,140.7,225.0
29,136.8,225.0
30,131.7,227.0
31,184.8,226.0
32,199.0,224.0
33,183.9,227.0
34,142.4,226.0
35,126.0,226.0
36,126.8,185.0
37,154.4,225.0
38,161.0,224.0
39,173.1,219.0
40,210.4,225.0
41,215.5,224.0
42,213.6,222.0
43,204.0,225.0
44,214.6,221.0
45,202.5,221.0
46,208.2,219.0
47,195.1,220.0
48,198.9,222.0
49,163.7,132.0
50,162.4,93.0
51,127.6,148.0
52,162.7,224.0
53,215.7,223.0
54,196.9,219.0
55,209.5,225.0
56,205.9,224.0
57,104.6,50.0
58,159.7,216.0
59,169.9,218.0
60,129.5,214.0
61,162.9,221.0
62,211.3,224.0
63,210.8,223.0
64,199.2,224.0
65,200.3,223.0
66,208.1,225.0
67,171.1,223.0
68,197.6,223.0
69,212.3,222.0
70,180.3,224.0
71,176.4,225.0
72,197.5,222.0
73,207.4,223.0
74,207.8,222.0
75,209.0,222.0
76,216.2,221.0
77,196.4,222.0
78,210.6,221.0
79,192.7,212.0
80,185.7,220.0
81,209.4,223.0
82,200.3,221.0
83,213.9,224.0
84,214.9,221.0
85,202.0,223.0
86,212.7,225.0
87,187.4,223.0
88,199.1,221.0
89,210.1,221.0
90,169.3,130.0
91,49.2,50.0
92,101.9,223.0
93,186.0,224.0
94,193.8,152.0
95,204.9,222.0
96,204.6,223.0
97,198.3,222.0
98,208.3,222.0
99,194.8,219.0
