generation,train_score,test_score
0,217.4,816.0
1,230.4,826.0
2,201.2,833.0
3,205.0,831.0
4,236.2,774.0
5,196.2,783.0
6,229.0,877.0
7,261.7,887.0
8,209.0,894.0
9,238.4,945.0
10,263.0,930.0
11,257.4,922.0
12,269.6,958.0
13,244.9,934.0
14,238.6,958.0
15,236.1,893.0
16,311.4,877.0
17,259.6,947.0
18,233.7,934.0
19,217.4,893.0
20,263.8,917.0
21,274.0,932.0
22,237.5,932.0
23,244.3,984.0
24,282.2,953.0
25,223.1,935.0
26,222.2,941.0
27,283.5,899.0
28,253.0,951.0
29,253.7,959.0
30,286.4,945.0
31,256.8,925.0
32,237.7,955.0
33,245.2,928.0
34,238.3,978.0
35,219.6,947.0
36,227.9,918.0
37,229.3,948.0
38,252.6,944.0
39,223.5,933.0
40,210.1,955.0
41,218.7,924.0
42,233.3,882.0
43,222.2,967.0
44,203.4,960.0
45,208.0,916.0
46,288.7,894.0
47,274.0,917.0
48,236.6,889.0
49,263.6,896.0
50,207.4,940.0
51,247.4,950.0
52,210.7,917.0
53,182.6,930.0
54,213.9,922.0
55,223.4,1005.0
56,270.3,958.0
57,228.2,939.0
58,230.9,960.0
59,250.0,906.0
60,242.5,917.0
61,234.2,976.0
62,231.0,963.0
63,256.4,919.0
64,190.3,939.0
65,212.8,921.0
66,238.1,914.0
67,252.2,940.0
68,242.4,914.0
69,247.8,923.0
70,237.0,930.0
71,202.1,968.0
72,225.0,948.0
73,231.6,943.0
74,238.5,978.0
75,197.2,960.0
76,221.7,953.0
77,206.4,944.0
78,215.2,915.0
79,213.2,950.0
80,194.3,935.0
81,244.9,916.0
82,238.6,930.0
83,248.8,946.0
84,242.1,931.0
85,218.8,926.0
86,229.6,922.0
87,244.5,935.0
88,235.8,959.0
89,230.6,987.0
90,242.4,914.0
91,229.8,969.0
92,194.2,935.0
93,267.0,964.0
94,279.6,984.0
95,203.7,885.0
96,201.9,907.0
97,189.5,916.0
98,184.8,915.0
99,224.4,952.0
