generation,train_score,test_score
0,-89.7,-88.0
1,-84.9,-98.0
2,-90.4,-82.0
3,-75.0,-69.0
4,-73.0,-85.0
5,-88.1,-99.0
6,-86.3,-65.0
7,-82.0,-48.0
8,-65.2,-50.0
9,-62.3,-47.0
10,-53.4,-23.0
11,-40.8,-29.0
12,-51.6,-28.0
13,-52.4,-11.0
14,-62.4,-11.0
15,-46.8,7.0
16,-40.6,42.0
17,-20.5,57.0
18,-36.9,28.0
19,-42.0,56.0
20,-25.2,25.0
21,-20.3,50.0
22,-23.5,60.0
23,-29.8,51.0
24,-40.1,52.0
25,-20.6,32.0
26,-26.1,39.0
27,-25.2,14.0
28,-32.7,40.0
29,-35.2,44.0
30,-55.0,45.0
31,-30.5,44.0
32,-35.3,46.0
33,-49.2,45.0
34,-27.6,48.0
35,-43.4,40.0
36,-41.0,49.0
37,-40.8,63.0
38,-40.7,63.0
39,-45.0,40.0
40,-13.8,84.0
41,-32.5,52.0
42,-20.6,50.0
43,-30.3,63.0
44,-19.7,52.0
45,-28.3,49.0
46,-19.9,67.0
47,-22.9,61.0
48,-29.6,59.0
49,-37.8,63.0
50,-16.0,78.0
51,-31.9,72.0
52,-23.8,64.0
53,-40.3,58.0
54,-33.3,87.0
55,-26.4,74.0
56,-18.9,68.0
57,-38.7,92.0
58,-7.1,82.0
59,-23.4,97.0
60,-16.6,91.0
61,-26.0,82.0
62,-8.2,83.0
63,-7.4,85.0
64,-18.4,82.0
65,-33.3,85.0
66,-15.2,65.0
67,-20.9,70.0
68,-26.4,86.0
69,-19.6,83.0
70,-10.2,81.0
71,-12.0,103.0
72,-30.2,101.0
73,-8.6,98.0
74,-24.3,85.0
75,-29.7,89.0
76,-22.5,97.0
77,-16.2,86.0
78,-23.3,90.0
79,-10.0,93.0
80,-22.7,64.0
81,-25.4,88.0
82,-26.6,78.0
83,-27.0,80.0
84,-8.7,81.0
85,-1.6,74.0
86,-23.8,98.0
87,-26.8,85.0
88,-15.9,104.0
89,-7.5,96.0
90,-1.8,102.0
91,-26.0,96.0
92,-17.0,93.0
93,-13.6,94.0
94,-23.5,98.0
95,-29.4,98.0
96,-13.3,93.0
97,-18.7,104.0
98,-25.2,78.0
99,-16.6,87.0
100,-12.9,80.0
101,-12.0,107.0
102,-13.9,79.0
103,-0.9,90.0
104,-23.9,95.0
105,-6.1,91.0
106,-17.5,78.0
107,-9.3,90.0
108,-22.6,91.0
109,-20.2,78.0
110,-15.5,91.0
111,-22.3,81.0
112,-14.1,90.0
113,-32.0,72.0
114,-25.0,68.0
115,-19.0,80.0
116,-16.6,91.0
117,-15.5,96.0
118,-10.4,105.0
119,-3.3,86.0
120,-21.5,89.0
121,-0.7,97.0
122,-13.5,89.0
123,-19.1,90.0
124,-6.7,110.0
125,-20.9,104.0
126,-23.1,100.0
127,-15.1,112.0
128,-23.8,98.0
129,-12.3,85.0
130,-22.3,102.0
131,1.5,107.0
132,-8.7,88.0
133,-8.7,93.0
134,-16.0,99.0
135,-22.0,93.0
136,-21.6,90.0
137,4.2,105.0
138,-6.0,109.0
139,-5.5,88.0
140,-25.0,108.0
141,-10.3,90.0
142,-22.4,100.0
143,-33.3,104.0
144,-2.2,101.0
145,-18.7,91.0
146,-28.2,83.0
147,1.8,94.0
148,-30.5,97.0
149,-16.3,98.0
150,-20.1,86.0
